127.0.0.1 - - [08/Oct/2024:09:15:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:15:10 +0900] "GET /Chapter06/ HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:15:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:15:18 +0900] "GET /Chapter06/hello.do HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:15:18 +0900] "GET /Chapter06/css/hello.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:16:11 +0900] "GET /Chapter06/hello.do HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:20:21 +0900] "GET /Chapter06/hello.do HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:20:22 +0900] "GET /Chapter06/hello.do HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:20:36 +0900] "GET /Chapter06/hello.do HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:20:44 +0900] "GET /Chapter06/hello.do HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:20:44 +0900] "GET /Chapter06/css/hello.css HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [08/Oct/2024:09:20:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
