127.0.0.1 - - [12/Aug/2024:13:41:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:41:47 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:41:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:43:20 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:43:23 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:44:47 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:46:41 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:47:55 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:47:56 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:48:04 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:48:31 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:48:33 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:48:46 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:49:02 +0900] "GET /CSS/04_css/exam01_.html HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:50:24 +0900] "GET /CSS/04_css/exam02_.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:51:51 +0900] "GET /CSS/04_css/exam02_.html HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:51:51 +0900] "GET /CSS/image/%EB%A7%9D%EC%83%81%ED%86%A0%EB%81%BC.gif HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:52:18 +0900] "GET /CSS/04_css/exam02_.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:52:18 +0900] "GET /CSS/image/img1.gif HTTP/1.1" 200 85664
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:53:32 +0900] "GET /CSS/04_css/exam02_.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:53:54 +0900] "GET /CSS/04_css/exam02_.html HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:53:56 +0900] "GET /CSS/04_css/exam02_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:54:04 +0900] "GET /CSS/04_css/exam02_.html HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:54:36 +0900] "GET /CSS/04_css/exam02_.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:55:00 +0900] "GET /CSS/04_css/exam02_.html HTTP/1.1" 200 498
